fecha,sku,producto,categoria,sucursal,cliente,cantidad,precio_unitario,costo_unitario,ingreso,costo_total,margen,margen_pct,descuento,dia_semana,mes
2024-01-01,LAP001,Laptop Pro 15,Electrónica,Sucursal Mérida,Comercial MX,8,14250.0,12000,114000.0,96000,18000.0,18.8,0.05,0,1
2024-01-01,MON002,Monitor 24 HD,Electrónica,Sucursal Querétaro,Soluciones Inc,3,3230.0,2500,9690.0,7500,2190.0,29.2,0.05,0,1
2024-01-01,TEC001,Teclado Mecánico,Periféricos,Sucursal Mérida,Distribuidora ABC,13,1400.0,800,18200.0,10400,7800.0,75.0,0.0,0,1
2024-01-01,MOU001,Mouse Ergonómico,Periféricos,Sucursal Querétaro,Empresa Beta,2,650.0,350,1300.0,700,600.0,85.7,0.0,0,1
2024-01-01,AUD002,Parlante Portátil,Audio,Sucursal Toluca,Empresa Beta,9,1500.0,800,13500.0,7200,6300.0,87.5,0.0,0,1
2024-01-01,DIS002,HDD 4TB,Almacenamiento,Sucursal Toluca,Cliente Premium,2,1900.0,1200,3800.0,2400,1400.0,58.3,0.0,0,1
2024-01-01,DIS003,USB 64GB,Almacenamiento,Sucursal Querétaro,Cliente Corp,3,332.5,150,997.5,450,547.5,121.7,0.05,0,1
2024-01-01,MUE002,Escritorio Eléctrico,Muebles,Sucursal Monterrey,Empresa Beta,12,8500.0,4500,102000.0,54000,48000.0,88.9,0.0,0,1
2024-01-02,PAP001,Papel Bond 5000 hojas,Papelería,Sucursal Querétaro,Comprador Final,3,380.0,200,1140.0,600,540.0,90.0,0.05,1,1
2024-01-02,SOF001,Office 365 1 año,Software,Sucursal Cancún,Soluciones Inc,4,1800.0,900,7200.0,3600,3600.0,100.0,0.0,1,1
2024-01-02,DIS002,HDD 4TB,Almacenamiento,Sucursal Puebla,Grupo Gamma,10,1900.0,1200,19000.0,12000,7000.0,58.3,0.0,1,1
2024-01-02,LAP001,Laptop Pro 15,Electrónica,Sucursal Toluca,Soluciones Inc,9,12750.0,12000,114750.0,108000,6750.0,6.2,0.15,1,1
2024-01-02,LAP002,Laptop Air 13,Electrónica,Sucursal Tijuana,Comercial MX,17,10925.0,9000,185725.0,153000,32725.0,21.4,0.05,1,1
2024-01-02,AUD003,Micrófono USB,Audio,Sucursal Monterrey,Grupo Gamma,5,2800.0,1500,14000.0,7500,6500.0,86.7,0.0,1,1
2024-01-03,SOF001,Office 365 1 año,Software,Sucursal Guadalajara,Mayorista JJ,5,1800.0,900,9000.0,4500,4500.0,100.0,0.0,2,1
2024-01-03,MUE002,Escritorio Eléctrico,Muebles,Sucursal Toluca,Grupo Gamma,4,8500.0,4500,34000.0,18000,16000.0,88.9,0.0,2,1
2024-01-03,PAP001,Papel Bond 5000 hojas,Papelería,Matriz CDMX,Empresa XYZ,16,360.0,200,5760.0,3200,2560.0,80.0,0.1,2,1
2024-01-03,RED002,Switch 8 puertos,Redes,Sucursal Puebla,Grupo Gamma,15,1100.0,600,16500.0,9000,7500.0,83.3,0.0,2,1
2024-01-03,AUD003,Micrófono USB,Audio,Sucursal Cancún,Distribuidora ABC,9,2520.0,1500,22680.0,13500,9180.0,68.0,0.1,2,1
2024-01-03,AUD002,Parlante Portátil,Audio,Sucursal Cancún,Comprador Final,6,1425.0,800,8550.0,4800,3750.0,78.1,0.05,2,1
2024-01-03,TEC002,Teclado Inalámbrico,Periféricos,Sucursal Tijuana,Comercial MX,3,750.0,450,2250.0,1350,900.0,66.7,0.0,2,1
2024-01-03,LAP001,Laptop Pro 15,Electrónica,Sucursal Mérida,Grupo Gamma,9,15000.0,12000,135000.0,108000,27000.0,25.0,0.0,2,1
2024-01-03,DIS003,USB 64GB,Almacenamiento,Sucursal Querétaro,Distribuidora ABC,3,297.5,150,892.5,450,442.5,98.3,0.15,2,1
2024-01-04,WEB002,Cámara Seguridad,Cámaras,Sucursal Mérida,Empresa Beta,11,3040.0,1800,33440.0,19800,13640.0,68.9,0.05,3,1
2024-01-04,TEC002,Teclado Inalámbrico,Periféricos,Sucursal Mérida,Distribuidora ABC,10,750.0,450,7500.0,4500,3000.0,66.7,0.0,3,1
2024-01-04,MOU002,Mouse Gamer,Periféricos,Sucursal Tijuana,Grupo Gamma,3,1100.0,600,3300.0,1800,1500.0,83.3,0.0,3,1
2024-01-04,AUD002,Parlante Portátil,Audio,Sucursal Toluca,Empresa Beta,6,1425.0,800,8550.0,4800,3750.0,78.1,0.05,3,1
2024-01-04,WEB001,Webcam HD,Cámaras,Sucursal Cancún,Grupo Gamma,11,1530.0,900,16830.0,9900,6930.0,70.0,0.1,3,1
