orden_id,fecha_orden,fecha_entrega,proveedor_id,proveedor,calidad_proveedor,sku,producto,categoria,cantidad,costo_unitario,costo_total,dias_estimados,dias_reales,retraso,entregado,puntual
OC-00001,2024-01-12,2024-01-16,PROV005,Logística Integral de Cómputo,88,MUE002,Escritorio Eléctrico,Muebles,33,4741.27,156461.91,4,4.0,2.0,True,False
OC-00002,2024-10-24,,PROV003,Suministros Empresariales C.A.,92,DIS001,SSD 1TB,Almacenamiento,41,1401.67,57468.47,2,,,False,False
OC-00003,2024-05-19,2024-05-31,PROV004,TecnoPartes del Sur,60,DIS001,SSD 1TB,Almacenamiento,20,1315.59,26311.8,10,12.0,0.0,True,True
OC-00004,2024-03-03,2024-03-21,PROV004,TecnoPartes del Sur,60,MUE001,Silla Ergonómica,Muebles,22,3960.02,87120.44,10,18.0,4.0,True,False
OC-00005,2024-04-30,2024-05-04,PROV002,Importaciones Globales Ltda.,70,LAP002,Laptop Air 13,Electrónica,79,9663.62,763425.98,7,4.0,0.0,True,True
OC-00006,2024-09-01,2024-09-02,PROV001,Distribuidora Tecnológica S.A.,85,SOF002,Antivirus 3 equipos,Software,50,382.53,19126.5,3,1.0,0.0,True,True
OC-00007,2024-05-08,2024-05-10,PROV001,Distribuidora Tecnológica S.A.,85,MOU002,Mouse Gamer,Periféricos,30,637.37,19121.1,3,2.0,0.0,True,True
OC-00008,2024-07-09,2024-07-18,PROV004,TecnoPartes del Sur,60,WEB001,Webcam HD,Cámaras,31,774.33,24004.23,10,9.0,0.0,True,True
OC-00009,2024-01-06,2024-01-09,PROV003,Suministros Empresariales C.A.,92,MOU001,Mouse Ergonómico,Periféricos,44,315.91,13900.04,2,3.0,4.0,True,False
OC-00010,2024-12-08,2024-12-12,PROV006,Comercializadora Digital Express,75,TEC001,Teclado Mecánico,Periféricos,33,749.31,24727.23,5,4.0,0.0,True,True
OC-00011,2024-10-13,2024-10-16,PROV001,Distribuidora Tecnológica S.A.,85,WEB001,Webcam HD,Cámaras,11,821.94,9041.34,3,3.0,0.0,True,True
OC-00012,2024-09-10,2024-09-14,PROV006,Comercializadora Digital Express,75,LAP001,Laptop Pro 15,Electrónica,29,13334.22,386692.38,5,4.0,2.0,True,False
