cliente_id,recencia_dias,frecuencia_compras,monto_total,ticket_promedio,antiguedad_dias,segmento_rfm
C00001,153,11,771.01,70.09,924,Medio-Alto
C00002,169,10,626.49,62.65,816,Medio-Alto
C00003,322,6,1936.91,322.82,1131,Bajo
C00004,172,4,870.68,217.67,1484,Medio-Bajo
C00005,93,1,1552.31,1552.31,77,Alto
C00006,246,4,510.38,127.59,1310,Medio-Bajo
C00007,126,3,1355.16,451.72,1867,Medio-Alto
C00008,257,7,1352.33,193.19,1055,Bajo
C00009,325,3,566.47,188.82,1678,Bajo
C00010,288,3,1993.14,664.38,1457,Bajo
C00011,8,4,824.09,206.02,1894,Alto
C00012,183,3,675.18,225.06,55,Medio-Bajo
C00013,350,7,464.27,66.32,1044,Bajo
C00014,30,13,952.08,73.24,1585,Alto
C00015,308,10,999.64,99.96,993,Bajo
C00016,152,5,613.37,122.67,1097,Medio-Alto
C00017,41,1,2283.37,2283.37,1052,Alto
C00018,128,11,968.72,88.07,1785,Medio-Alto
C00019,267,4,2345.96,586.49,1621,Bajo
C00020,88,9,756.47,84.05,666,Alto
C00021,201,1,1214.36,1214.36,51,Medio-Bajo
C00022,141,9,538.85,59.87,902,Medio-Alto
C00023,246,12,982.82,81.9,1893,Medio-Bajo
C00024,166,4,786.55,196.64,469,Medio-Alto
C00025,134,15,304.82,20.32,579,Medio-Alto
C00026,308,1,849.51,849.51,105,Bajo
C00027,339,1,894.34,894.34,358,Bajo
C00028,319,1,495.29,495.29,505,Bajo
C00029,217,10,1533.72,153.37,1819,Medio-Bajo
C00030,251,30,612.16,20.41,1282,Medio-Bajo
C00031,73,2,689.58,344.79,476,Alto
C00032,187,4,789.5,197.38,614,Medio-Bajo
C00033,338,9,514.58,57.18,1100,Bajo
C00034,112,3,833.92,277.97,874,Medio-Alto
C00035,126,19,1362.66,71.72,793,Medio-Alto
C00036,263,1,1421.77,1421.77,829,Bajo
C00037,275,6,797.68,132.95,1457,Bajo
C00038,132,4,1428.08,357.02,254,Medio-Alto
C00039,139,4,1207.28,301.82,1366,Medio-Alto
C00040,97,5,416.64,83.33,1044,Alto
C00041,57,7,378.31,54.04,35,Alto
C00042,310,3,600.01,200.0,1055,Bajo
C00043,276,1,280.65,280.65,852,Bajo
C00044,304,7,2185.97,312.28,1970,Bajo
C00045,6,2,772.43,386.21,1983,Alto
C00046,30,2,1501.36,750.68,1735,Alto
C00047,149,5,748.25,149.65,565,Medio-Alto
C00048,46,5,566.0,113.2,464,Alto
C00049,99,3,862.62,287.54,696,Medio-Alto
C00050,270,14,1306.45,93.32,305,Bajo
C00051,326,1,751.57,751.57,49,Bajo
C00052,159,3,1075.82,358.61,395,Medio-Alto
C00053,1,8,1802.56,225.32,256,Alto
C00054,24,7,229.25,32.75,598,Alto
C00055,311,3,422.71,140.9,1941,Bajo
C00056,244,12,615.98,51.33,291,Medio-Bajo
C00057,176,1,946.0,946.0,1877,Medio-Bajo
C00058,190,7,624.05,89.15,1671,Medio-Bajo
C00059,243,2,376.24,188.12,348,Medio-Bajo
C00060,195,23,2074.17,90.18,1529,Medio-Bajo
C00061,150,3,1122.55,374.18,1670,Medio-Alto
C00062,239,10,1616.89,161.69,1278,Medio-Bajo
